ID,Institution,OpenAlexInstitutionID,Country,Type,NormName,Topic
377,Potsdam Institute for Climate Impact Research,https://openalex.org/I60200437,DE,facility,potsdam institute for climate impact research,Renewable_Energy_General
378,Sanofi (France),https://openalex.org/I3018075036,FR,funder,sanofi france,Renewable_Energy_General
379,Arizona State University,https://openalex.org/I55732556,US,funder,arizona state university,Renewable_Energy_General
380,Université Savoie Mont Blanc,https://openalex.org/I70900168,FR,funder,université savoie mont blanc,Renewable_Energy_General
381,Mälardalen University,https://openalex.org/I82509713,SE,funder,mälardalen university,Renewable_Energy_General
382,University of San Diego,https://openalex.org/I160856358,US,funder,university of san diego,Renewable_Energy_General
383,National Technical Information Service,https://openalex.org/I4210108489,US,government,national technical information service,Renewable_Energy_General
384,Leuphana University of Lüneburg,https://openalex.org/I113456305,DE,funder,leuphana university of lüneburg,Renewable_Energy_General
385,Graduate School Experimental Plant Sciences,https://openalex.org/I4210090479,NL,facility,graduate school experimental plant sciences,Renewable_Energy_General
386,Ludwig-Maximilians-Universität München,https://openalex.org/I8204097,DE,funder,ludwig-maximilians-universität münchen,Renewable_Energy_General
387,University of KwaZulu-Natal,https://openalex.org/I95023434,ZA,funder,university of kwazulu-natal,Renewable_Energy_General
388,"University of California, Santa Cruz",https://openalex.org/I185103710,US,funder,university of california santa cruz,Renewable_Energy_General
389,Universidade Federal de Itajubá,https://openalex.org/I8165072,BR,funder,universidade federal de itajubá,Renewable_Energy_General
390,University of South Florida,https://openalex.org/I2613432,US,funder,university of south florida,Renewable_Energy_General
391,National Council for Scientific and Technological Development,https://openalex.org/I11385950,BR,government,national council for scientific and technological development,Wind_Energy_Impacts
392,National Environmental Engineering Research Institute,https://openalex.org/I170347488,IN,funder,national environmental engineering research institute,Renewable_Energy_General
393,Macaulay Development Trust,https://openalex.org/I4210095897,GB,nonprofit,macaulay development trust,Renewable_Energy_General
394,Université de Picardie Jules Verne,https://openalex.org/I4647051,FR,education,université de picardie jules verne,Renewable_Energy_General
395,Fondazione Lombardia per l’Ambiente,https://openalex.org/I4210160831,IT,nonprofit,fondazione lombardia per lambiente,Renewable_Energy_General
396,UK Centre for Ecology & Hydrology,https://openalex.org/I4210092773,GB,other,uk centre for ecology hydrology,Renewable_Energy_General
397,Instituto de Investigacao das Pescas e do Mar,https://openalex.org/I4210155074,PT,facility,instituto de investigacao das pescas e do mar,Renewable_Energy_General
398,Huazhong Agricultural University,https://openalex.org/I204823248,CN,funder,huazhong agricultural university,Renewable_Energy_General
399,Institute of Nature Conservation,https://openalex.org/I4210124661,PL,other,institute of nature conservation,Renewable_Energy_General
400,United States Department of Energy,https://openalex.org/I1330989302,US,government,united states department of energy,Renewable_Energy_General
401,National Institute of Oceanography and Applied Geophysics,https://openalex.org/I4210164369,IT,facility,national institute of oceanography and applied geophysics,Renewable_Energy_General
402,Universität Ulm,https://openalex.org/I196349391,DE,funder,universität ulm,Wind_Energy_Impacts
403,Norwegian Institute of Marine Research,https://openalex.org/I2802153510,NO,funder,norwegian institute of marine research,Renewable_Energy_General
404,Institute of Soil Science and Plant Cultivation,https://openalex.org/I4210101684,PL,facility,institute of soil science and plant cultivation,Solar_Biomass_Production
405,Edinburgh College,https://openalex.org/I3130638677,GB,education,edinburgh college,Renewable_Energy_General
406,Waseda University,https://openalex.org/I150744194,JP,funder,waseda university,Renewable_Energy_General
407,Environmental Protection Agency,https://openalex.org/I1302368450,US,government,environmental protection agency,Unknown
408,University of California Division of Agriculture and Natural Resources,https://openalex.org/I4210141545,US,funder,university of california division of agriculture and natural resources,Renewable_Energy_General
409,Hebrew University of Jerusalem,https://openalex.org/I197251160,IL,funder,hebrew university of jerusalem,Renewable_Energy_General
410,International Water Management Institute,https://openalex.org/I60325297,LK,facility,international water management institute,Unknown
411,Trent University,https://openalex.org/I662221,CA,funder,trent university,Renewable_Energy_General
412,Osaka City University,https://openalex.org/I317356780,JP,funder,osaka city university,Renewable_Energy_General
413,Met Office,https://openalex.org/I1293035123,GB,government,met office,Renewable_Energy_General
414,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,GB,company,microsoft research united kingdom,Renewable_Energy_General
415,University of Cape Town,https://openalex.org/I157614274,ZA,funder,university of cape town,Wind_Energy_Impacts
416,Norwich Research Park,https://openalex.org/I2799300731,GB,funder,norwich research park,Renewable_Energy_General
417,Hydro-Québec,https://openalex.org/I47099075,CA,government,hydro-québec,Renewable_Energy_General
418,Woodwell Climate Research Center,https://openalex.org/I1313003366,US,other,woodwell climate research center,Renewable_Energy_General
419,Kent State University,https://openalex.org/I149910238,US,funder,kent state university,Renewable_Energy_General
420,Cal Poly Humboldt,https://openalex.org/I192389796,US,funder,cal poly humboldt,Renewable_Energy_General
421,Soochow University,https://openalex.org/I185940356,TW,education,soochow university,Unknown
422,Trinity College Dublin,https://openalex.org/I205274468,IE,funder,trinity college dublin,Renewable_Energy_General
423,Centro de Investigação em Biodiversidade e Recursos Genéticos,https://openalex.org/I4390039289,,facility,centro de investigação em biodiversidade e recursos genéticos,Wind_Energy_Impacts
424,University of Kentucky,https://openalex.org/I143302722,US,funder,university of kentucky,Renewable_Energy_General
425,Friedrich Miescher Institute,https://openalex.org/I860889466,CH,funder,friedrich miescher institute,Renewable_Energy_General
426,Georgia State University,https://openalex.org/I181565077,US,funder,georgia state university,Renewable_Energy_General
427,California Institute of Technology,https://openalex.org/I122411786,US,funder,california institute of technology,Renewable_Energy_General
428,North Central College,https://openalex.org/I45536552,US,education,north central college,Renewable_Energy_General
429,Agrárközgazdasági Intézet,https://openalex.org/I4210107837,HU,facility,agrárközgazdasági intézet,Renewable_Energy_General
430,University of Iceland,https://openalex.org/I165368041,IS,funder,university of iceland,Renewable_Energy_General
431,British Oceanographic Data Centre,https://openalex.org/I1329245128,GB,facility,british oceanographic data centre,Wind_Energy_Impacts
432,Norwegian School of Economics,https://openalex.org/I931913249,NO,education,norwegian school of economics,Renewable_Energy_General
433,University of Pretoria,https://openalex.org/I69552723,ZA,funder,university of pretoria,Renewable_Energy_General
434,Shantou University,https://openalex.org/I32574673,CN,funder,shantou university,Renewable_Energy_General
435,"California State University, Sacramento",https://openalex.org/I43522216,US,funder,california state university sacramento,Wind_Energy_Impacts
436,Univerzitet Union Nikola Tesla,https://openalex.org/I4210120853,RS,education,univerzitet union nikola tesla,Renewable_Energy_General
437,National Audubon Society,https://openalex.org/I1289790988,US,nonprofit,national audubon society,Wind_Energy_Impacts
438,"University of California, San Diego",https://openalex.org/I36258959,US,funder,university of california san diego,Renewable_Energy_General
439,Texas A&M University,https://openalex.org/I91045830,US,funder,texas am university,Renewable_Energy_General
440,St Johns River State College,https://openalex.org/I2802694066,US,education,st johns river state college,Renewable_Energy_General
441,University of Nottingham Malaysia Campus,https://openalex.org/I155043079,MY,funder,university of nottingham malaysia campus,Renewable_Energy_General
442,Chalmers University of Technology,https://openalex.org/I66862912,SE,funder,chalmers university of technology,Renewable_Energy_General
443,World Bank,https://openalex.org/I1334329717,US,other,world bank,Renewable_Energy_General
444,Sax Institute,https://openalex.org/I4210089792,AU,funder,sax institute,Renewable_Energy_General
445,Johann Heinrich von Thünen-Institut,https://openalex.org/I4210093792,DE,government,johann heinrich von thünen-institut,Renewable_Energy_General
446,Radboud University Nijmegen,https://openalex.org/I145872427,NL,funder,radboud university nijmegen,Renewable_Energy_General
447,UNSW Sydney,https://openalex.org/I31746571,AU,funder,unsw sydney,Renewable_Energy_General
448,Universität Hamburg,https://openalex.org/I159176309,DE,funder,universität hamburg,Renewable_Energy_General
449,Shell (Netherlands),https://openalex.org/I7923278,NL,funder,shell netherlands,Solar_Biomass_Production
450,Institute For Ecology of Industrial Areas,https://openalex.org/I4210095889,PL,facility,institute for ecology of industrial areas,Renewable_Energy_General
451,University of Canterbury,https://openalex.org/I185492890,NZ,funder,university of canterbury,Renewable_Energy_General
452,Geosciences and Environmental Change Science Center,https://openalex.org/I4391767640,,government,geosciences and environmental change science center,Renewable_Energy_General
453,Solar Fuels Institute,https://openalex.org/I4210137311,US,facility,solar fuels institute,Renewable_Energy_General
454,Technische Universität Berlin,https://openalex.org/I4577782,DE,funder,technische universität berlin,Renewable_Energy_General
455,University of Göttingen,https://openalex.org/I74656192,DE,funder,university of göttingen,Renewable_Energy_General
456,Centre d'Estudis Avançats de Blanes,https://openalex.org/I4210101295,ES,facility,centre destudis avançats de blanes,Renewable_Energy_General
457,Lukasiewicz Research Network - Krakow Institute of Technology,https://openalex.org/I4210131934,PL,facility,lukasiewicz research network - krakow institute of technology,Solar_Biomass_Production
458,Barnard College,https://openalex.org/I98540497,US,funder,barnard college,Renewable_Energy_General
459,Harvard University,https://openalex.org/I136199984,US,funder,harvard university,Renewable_Energy_General
460,Wellesley College,https://openalex.org/I189731429,US,funder,wellesley college,Renewable_Energy_General
461,University of Bergen,https://openalex.org/I4432739,NO,funder,university of bergen,Renewable_Energy_General
462,Station Biologique de Roscoff,https://openalex.org/I2802436875,FR,facility,station biologique de roscoff,Renewable_Energy_General
463,"Rutgers, The State University of New Jersey",https://openalex.org/I102322142,US,funder,rutgers the state university of new jersey,Renewable_Energy_General
464,Forstliche Versuchs- und Forschungsanstalt Baden-Württemberg,https://openalex.org/I4210160349,DE,facility,forstliche versuchs- und forschungsanstalt baden-württemberg,Renewable_Energy_General
465,Suffolk University,https://openalex.org/I24306055,US,education,suffolk university,Renewable_Energy_General
466,Savannah River National Laboratory,https://openalex.org/I2799909505,US,funder,savannah river national laboratory,Solar_Biomass_Production
467,The University of Tokyo,https://openalex.org/I74801974,JP,funder,the university of tokyo,Renewable_Energy_General
468,Istituto Nazionale di Ricerca per gli Alimenti e la Nutrizione,https://openalex.org/I4210097641,IT,facility,istituto nazionale di ricerca per gli alimenti e la nutrizione,Renewable_Energy_General
469,University of North Carolina at Chapel Hill,https://openalex.org/I114027177,US,funder,university of north carolina at chapel hill,Renewable_Energy_General
470,Oxford Brookes University,https://openalex.org/I124261462,GB,funder,oxford brookes university,Renewable_Energy_General
471,Rodale Institute,https://openalex.org/I1288403368,US,nonprofit,rodale institute,Renewable_Energy_General
472,University College London,https://openalex.org/I45129253,GB,funder,university college london,Renewable_Energy_General
473,Princeton University,https://openalex.org/I20089843,US,funder,princeton university,Renewable_Energy_General
474,Max Planck Institute for Marine Microbiology,https://openalex.org/I4210103014,DE,facility,max planck institute for marine microbiology,Renewable_Energy_General
475,Instituto da Conservação da Natureza e das Florestas,https://openalex.org/I4210106413,PT,other,instituto da conservação da natureza e das florestas,Wind_Energy_Impacts
476,Nielsen (Germany),https://openalex.org/I4210089810,DE,company,nielsen germany,Renewable_Energy_General
477,ISRIC - World Soil Information,https://openalex.org/I31761138,NL,other,isric - world soil information,Renewable_Energy_General
478,Martin Luther University Halle-Wittenberg,https://openalex.org/I68956291,DE,education,martin luther university halle-wittenberg,Renewable_Energy_General
479,Kwame Nkrumah University,https://openalex.org/I4210132509,ZM,education,kwame nkrumah university,Renewable_Energy_General
480,Institut National Agronomique de Tunisie,https://openalex.org/I4210130933,TN,education,institut national agronomique de tunisie,Renewable_Energy_General
481,University of Genoa,https://openalex.org/I83816512,IT,funder,university of genoa,Renewable_Energy_General
482,National Council for Air and Stream Improvement,https://openalex.org/I4210140560,US,nonprofit,national council for air and stream improvement,Renewable_Energy_General
483,National University of Mar del Plata,https://openalex.org/I189075073,AR,funder,national university of mar del plata,Renewable_Energy_General
484,Wildlife Institute of India,https://openalex.org/I31888360,IN,funder,wildlife institute of india,Wind_Energy_Impacts
485,University of Perugia,https://openalex.org/I27483092,IT,funder,university of perugia,Renewable_Energy_General
486,Laboratoire d’Océanologie et de Géosciences,https://openalex.org/I4210161208,FR,facility,laboratoire docéanologie et de géosciences,Renewable_Energy_General
487,City College of New York,https://openalex.org/I125687163,US,funder,city college of new york,Renewable_Energy_General
488,University of Georgia,https://openalex.org/I165733156,US,funder,university of georgia,Renewable_Energy_General
489,Heidelberg University,https://openalex.org/I223822909,DE,funder,heidelberg university,Renewable_Energy_General
490,Federal Institute of Hydrology,https://openalex.org/I4210128546,DE,government,federal institute of hydrology,Renewable_Energy_General
491,Health Canada,https://openalex.org/I1288894424,CA,government,health canada,Renewable_Energy_General
492,University of Patras,https://openalex.org/I174878644,GR,funder,university of patras,Renewable_Energy_General
493,Istituto Nazionale di Geofisica e Vulcanologia,https://openalex.org/I29078338,IT,funder,istituto nazionale di geofisica e vulcanologia,Renewable_Energy_General
494,National Museums of Kenya,https://openalex.org/I4210151777,KE,archive,national museums of kenya,Land_Use_Bioenergy
495,California Energy Commission,https://openalex.org/I1338202479,US,government,california energy commission,Wind_Energy_Impacts
496,Fera Science (United Kingdom),https://openalex.org/I1287240670,GB,company,fera science united kingdom,Wind_Energy_Impacts
497,Mayo Clinic in Florida,https://openalex.org/I4210146710,US,healthcare,mayo clinic in florida,Wind_Energy_Impacts
498,Israel Oceanographic and Limnological Research,https://openalex.org/I4210154993,IL,facility,israel oceanographic and limnological research,Renewable_Energy_General
499,Indiana University,https://openalex.org/I592451,US,funder,indiana university,Renewable_Energy_General
500,Western Regional Research Center,https://openalex.org/I4210140558,US,government,western regional research center,Hydropower_Aquatic
501,Institute of Geography of the Slovak Academy of Sciences,https://openalex.org/I4210158283,SK,facility,institute of geography of the slovak academy of sciences,Renewable_Energy_General
502,Egyptian Atomic Energy Authority,https://openalex.org/I3089115,EG,government,egyptian atomic energy authority,Unknown
503,Royal Holloway University of London,https://openalex.org/I184558857,GB,funder,royal holloway university of london,Renewable_Energy_General
504,Hygiene-Institut des Ruhrgebiets,https://openalex.org/I4210133134,DE,nonprofit,hygiene-institut des ruhrgebiets,Renewable_Energy_General
505,Erasmus University Rotterdam,https://openalex.org/I913958620,NL,funder,erasmus university rotterdam,Renewable_Energy_General
506,University of Brawijaya,https://openalex.org/I177055848,ID,funder,university of brawijaya,Renewable_Energy_General
507,Mote Marine Laboratory,https://openalex.org/I2800735176,US,nonprofit,mote marine laboratory,Wind_Energy_Impacts
508,University of Bonn,https://openalex.org/I135140700,DE,funder,university of bonn,Renewable_Energy_General
509,Instituto de Investigación en Recursos Cinegéticos,https://openalex.org/I4210107500,ES,facility,instituto de investigación en recursos cinegéticos,Wind_Energy_Impacts
510,Research Institute of Industrial Economics,https://openalex.org/I77432436,SE,nonprofit,research institute of industrial economics,Renewable_Energy_General
511,University of Aveiro,https://openalex.org/I60858718,PT,funder,university of aveiro,Renewable_Energy_General
512,Georgia Institute of Technology,https://openalex.org/I130701444,US,funder,georgia institute of technology,Renewable_Energy_General
513,Chinese Academy of Agricultural Sciences,https://openalex.org/I4210138501,CN,government,chinese academy of agricultural sciences,Renewable_Energy_General
514,Universiti of Malaysia Sabah,https://openalex.org/I161371597,MY,funder,universiti of malaysia sabah,Renewable_Energy_General
515,The Open University,https://openalex.org/I204136569,GB,funder,the open university,Renewable_Energy_General
516,George Washington University,https://openalex.org/I193531525,US,funder,george washington university,Renewable_Energy_General
517,University of Liverpool,https://openalex.org/I146655781,GB,funder,university of liverpool,Renewable_Energy_General
518,Pacific Southwest Research Station,https://openalex.org/I4210129675,US,government,pacific southwest research station,Renewable_Energy_General
519,WorldFish,https://openalex.org/I75881417,MY,nonprofit,worldfish,Renewable_Energy_General
520,The Nature Conservancy,https://openalex.org/I1280640908,US,nonprofit,the nature conservancy,Renewable_Energy_General
521,Pace University,https://openalex.org/I126863827,US,education,pace university,Wind_Energy_Impacts
522,Institute of Groundwater Ecology,https://openalex.org/I4210127477,DE,nonprofit,institute of groundwater ecology,Renewable_Energy_General
523,University of Auckland,https://openalex.org/I154130895,NZ,funder,university of auckland,Renewable_Energy_General
524,Chinese Academy of Sciences,https://openalex.org/I19820366,CN,government,chinese academy of sciences,Renewable_Energy_General
525,Management Sciences (United States),https://openalex.org/I4210155590,US,company,management sciences united states,Renewable_Energy_General
526,University of Belgrade,https://openalex.org/I4068193,RS,funder,university of belgrade,Renewable_Energy_General
527,Akvaplan-niva,https://openalex.org/I4210138062,NO,company,akvaplan-niva,Renewable_Energy_General
528,Leibniz Centre for Agricultural Landscape Research,https://openalex.org/I4210113030,DE,facility,leibniz centre for agricultural landscape research,Renewable_Energy_General
529,Université de Technologie de Compiègne,https://openalex.org/I102516824,FR,funder,université de technologie de compiègne,Renewable_Energy_General
530,Instituto Venezolano de Investigaciones Científicas,https://openalex.org/I191242182,VE,funder,instituto venezolano de investigaciones científicas,Renewable_Energy_General
531,"University at Buffalo, State University of New York",https://openalex.org/I63190737,US,funder,university at buffalo state university of new york,Renewable_Energy_General
532,Universidad de Antofagasta,https://openalex.org/I129739261,CL,funder,universidad de antofagasta,Renewable_Energy_General
533,Station Marine d'Endoume,https://openalex.org/I4210150974,FR,facility,station marine dendoume,Renewable_Energy_General
534,Helmholtz Centre for Environmental Research,https://openalex.org/I137479271,DE,funder,helmholtz centre for environmental research,Renewable_Energy_General
535,Helmholtz Zentrum München,https://openalex.org/I3018134672,DE,funder,helmholtz zentrum münchen,Renewable_Energy_General
536,Institute for Systems Analysis,https://openalex.org/I4210115688,RU,facility,institute for systems analysis,Unknown
537,University of Virginia,https://openalex.org/I51556381,US,funder,university of virginia,Renewable_Energy_General
538,Pennsylvania State University,https://openalex.org/I130769515,US,funder,pennsylvania state university,Renewable_Energy_General
539,Technical University of Zvolen,https://openalex.org/I4210099477,SK,funder,technical university of zvolen,Solar_Biomass_Production
540,The University of Sydney,https://openalex.org/I129604602,AU,funder,the university of sydney,Renewable_Energy_General
541,University of Gothenburg,https://openalex.org/I881427289,SE,funder,university of gothenburg,Renewable_Energy_General
542,University of Kurdistan,https://openalex.org/I3124704065,IR,funder,university of kurdistan,Hydropower_Aquatic
543,Entertainment Industries Council,https://openalex.org/I2801078287,US,nonprofit,entertainment industries council,Renewable_Energy_General
544,University of Minho,https://openalex.org/I99682543,PT,funder,university of minho,Renewable_Energy_General
545,University of Edinburgh,https://openalex.org/I98677209,GB,funder,university of edinburgh,Renewable_Energy_General
546,Northwest Minzu University,https://openalex.org/I124644866,CN,funder,northwest minzu university,Renewable_Energy_General
547,"Institute of Agrophysics, Polish Academy of Sciences",https://openalex.org/I4210107764,PL,facility,institute of agrophysics polish academy of sciences,Renewable_Energy_General
548,Purdue University West Lafayette,https://openalex.org/I219193219,US,funder,purdue university west lafayette,Renewable_Energy_General
549,Graz University of Technology,https://openalex.org/I4092182,AT,funder,graz university of technology,Renewable_Energy_General
550,University of New Hampshire,https://openalex.org/I161057412,US,funder,university of new hampshire,Renewable_Energy_General
551,Keio University,https://openalex.org/I203951103,JP,funder,keio university,Renewable_Energy_General
552,Shell (United Kingdom),https://openalex.org/I4210164678,GB,company,shell united kingdom,Renewable_Energy_General
553,Marine Alliance for Science and Technology for Scotland,https://openalex.org/I4210157739,GB,government,marine alliance for science and technology for scotland,Wind_Energy_Impacts
554,Cardiff University,https://openalex.org/I79510175,GB,funder,cardiff university,Renewable_Energy_General
555,University of New Brunswick,https://openalex.org/I106938459,CA,funder,university of new brunswick,Renewable_Energy_General
556,University of Nebraska–Lincoln,https://openalex.org/I114395901,US,funder,university of nebraskalincoln,Renewable_Energy_General
557,U.S. National Science Foundation,https://openalex.org/I1311060795,US,government,us national science foundation,Wind_Energy_Impacts
558,University of Tasmania,https://openalex.org/I129801699,AU,funder,university of tasmania,Renewable_Energy_General
559,Ministry of Education,https://openalex.org/I1293487690,BR,government,ministry of education,Unknown
560,Energy Research Centre of the Netherlands,https://openalex.org/I2802259095,NL,facility,energy research centre of the netherlands,Renewable_Energy_General
561,Franklin College,https://openalex.org/I904372625,US,education,franklin college,Renewable_Energy_General
562,Baylor University,https://openalex.org/I157394403,US,funder,baylor university,Hydropower_Aquatic
563,Estación Biológica de Doñana,https://openalex.org/I4210089289,ES,facility,estación biológica de doñana,Wind_Energy_Impacts
564,"Institute of Biochemistry and Biophysics, Polish Academy of Sciences",https://openalex.org/I4210128244,PL,facility,institute of biochemistry and biophysics polish academy of sciences,Hydropower_Aquatic
565,Paul Scherrer Institute,https://openalex.org/I2802229908,CH,funder,paul scherrer institute,Renewable_Energy_General
566,Office National de la Chasse et de la Faune Sauvage,https://openalex.org/I4210115290,FR,government,office national de la chasse et de la faune sauvage,Land_Use_Bioenergy
567,Carleton University,https://openalex.org/I67031392,CA,funder,carleton university,Renewable_Energy_General
568,Université de franche-comté,https://openalex.org/I90843659,FR,funder,université de franche-comté,Renewable_Energy_General
569,Yıldız Technical University,https://openalex.org/I4101805,TR,funder,yıldız technical university,Renewable_Energy_General
570,Lublin University of Technology,https://openalex.org/I8264552,PL,funder,lublin university of technology,Renewable_Energy_General
571,Ecofys (Netherlands),https://openalex.org/I4210109366,NL,company,ecofys netherlands,Renewable_Energy_General
572,Rocky Mountain Research Station,https://openalex.org/I4210140135,US,government,rocky mountain research station,Renewable_Energy_General
573,Keele University,https://openalex.org/I56007636,GB,funder,keele university,Renewable_Energy_General
574,Osnabrück University,https://openalex.org/I170658231,DE,funder,osnabrück university,Renewable_Energy_General
575,University of Almería,https://openalex.org/I52354020,ES,funder,university of almería,Renewable_Energy_General
576,Kazimierz Wielki University in Bydgoszcz,https://openalex.org/I149592570,PL,funder,kazimierz wielki university in bydgoszcz,Hydropower_Aquatic
577,Tata Consultancy Services (India),https://openalex.org/I55215948,IN,funder,tata consultancy services india,Land_Use_Bioenergy
578,University of South Carolina,https://openalex.org/I155781252,US,funder,university of south carolina,Renewable_Energy_General
579,Marine Conservation Institute,https://openalex.org/I2801986924,US,nonprofit,marine conservation institute,Renewable_Energy_General
580,University of Naples Federico II,https://openalex.org/I71267560,IT,funder,university of naples federico ii,Renewable_Energy_General
581,Agricultural Research Organization,https://openalex.org/I376102,IL,government,agricultural research organization,Renewable_Energy_General
582,University of Rajshahi,https://openalex.org/I902853133,BD,funder,university of rajshahi,Renewable_Energy_General
583,Universidade Federal de Uberlândia,https://openalex.org/I80850581,BR,funder,universidade federal de uberlândia,Renewable_Energy_General
584,Vrije Universiteit Amsterdam,https://openalex.org/I865915315,NL,funder,vrije universiteit amsterdam,Renewable_Energy_General
585,Karlstad University,https://openalex.org/I43968019,SE,funder,karlstad university,Renewable_Energy_General
586,University of Gloucestershire,https://openalex.org/I114203471,GB,funder,university of gloucestershire,Wind_Energy_Impacts
587,Bournemouth University,https://openalex.org/I9300472,GB,funder,bournemouth university,Renewable_Energy_General
588,London Metropolitan University,https://openalex.org/I126193024,GB,funder,london metropolitan university,Renewable_Energy_General
589,Center for International Forestry Research,https://openalex.org/I92777862,ID,nonprofit,center for international forestry research,Renewable_Energy_General
590,University of Life Sciences in Poznań,https://openalex.org/I55783418,PL,funder,university of life sciences in poznań,Hydropower_Aquatic
591,Institut d'Économie Rurale,https://openalex.org/I4210105938,ML,government,institut déconomie rurale,Renewable_Energy_General
592,"University of California, San Francisco",https://openalex.org/I180670191,US,funder,university of california san francisco,Renewable_Energy_General
593,University of Jyväskylä,https://openalex.org/I94722563,FI,funder,university of jyväskylä,Renewable_Energy_General
594,Nederlands Instituut Publieke Veiligheid,https://openalex.org/I4210146842,NL,other,nederlands instituut publieke veiligheid,Renewable_Energy_General
595,Northwest A&F University,https://openalex.org/I89652312,CN,funder,northwest af university,Renewable_Energy_General
596,Universidad de Huelva,https://openalex.org/I78880903,ES,funder,universidad de huelva,Renewable_Energy_General
597,Visvesvaraya National Institute of Technology,https://openalex.org/I167153416,IN,funder,visvesvaraya national institute of technology,Renewable_Energy_General
598,NOAA National Marine Fisheries Service,https://openalex.org/I106745318,US,government,noaa national marine fisheries service,Wind_Energy_Impacts
599,National Oceanic and Atmospheric Administration,https://openalex.org/I1308126019,US,government,national oceanic and atmospheric administration,Wind_Energy_Impacts
600,Centre international de recherche sur l’environnement et le développement,https://openalex.org/I4210103046,FR,facility,centre international de recherche sur lenvironnement et le développement,Renewable_Energy_General
601,Eindhoven University of Technology,https://openalex.org/I83019370,NL,funder,eindhoven university of technology,Renewable_Energy_General
602,Medical University Plovdiv,https://openalex.org/I2801117330,BG,education,medical university plovdiv,Solar_Biomass_Production
603,University of New England,https://openalex.org/I275799156,US,education,university of new england,Unknown
604,"University of Nevada, Las Vegas",https://openalex.org/I133999245,US,funder,university of nevada las vegas,Renewable_Energy_General
605,University of Stuttgart,https://openalex.org/I100066346,DE,funder,university of stuttgart,Renewable_Energy_General
606,Plant & Food Research,https://openalex.org/I1320288732,NZ,funder,plant food research,Renewable_Energy_General
607,Qatar University,https://openalex.org/I60342839,QA,funder,qatar university,Renewable_Energy_General
608,Texas Christian University,https://openalex.org/I128956969,US,funder,texas christian university,Wind_Energy_Impacts
609,New York University,https://openalex.org/I57206974,US,funder,new york university,Renewable_Energy_General
610,University of Neuchâtel,https://openalex.org/I57825437,CH,funder,university of neuchâtel,Renewable_Energy_General
611,China Steel (Taiwan),https://openalex.org/I930026050,TW,funder,china steel taiwan,Solar_Biomass_Production
612,Cocoa Research Institute of Ghana,https://openalex.org/I4210152341,GH,funder,cocoa research institute of ghana,Renewable_Energy_General
613,James Cook University,https://openalex.org/I86467917,AU,funder,james cook university,Renewable_Energy_General
614,Universitat de Lleida,https://openalex.org/I15766328,ES,funder,universitat de lleida,Renewable_Energy_General
615,Sapienza University of Rome,https://openalex.org/I861853513,IT,funder,sapienza university of rome,Renewable_Energy_General
616,Zoological Society of London,https://openalex.org/I1321067030,GB,nonprofit,zoological society of london,Renewable_Energy_General
617,University of Plymouth,https://openalex.org/I897542642,GB,funder,university of plymouth,Renewable_Energy_General
618,NOAA National Marine Fisheries Service Northwest Fisheries Science Center,https://openalex.org/I4210166920,US,government,noaa national marine fisheries service northwest fisheries science center,Hydropower_Aquatic
619,Max Planck Institute for Meteorology,https://openalex.org/I4210163131,DE,facility,max planck institute for meteorology,Renewable_Energy_General
620,Universidad de León,https://openalex.org/I8833935,ES,funder,universidad de león,Renewable_Energy_General
621,Bundesamt für Bauwesen und Raumordnung,https://openalex.org/I4210146780,DE,government,bundesamt für bauwesen und raumordnung,Renewable_Energy_General
622,Universidade Federal de Santa Maria,https://openalex.org/I33501960,BR,funder,universidade federal de santa maria,Renewable_Energy_General
623,École des Mines de Douai,https://openalex.org/I160727737,FR,education,école des mines de douai,Hydropower_Aquatic
624,University of Isfahan,https://openalex.org/I39268498,IR,funder,university of isfahan,Renewable_Energy_General
625,La Rochelle Université,https://openalex.org/I78744979,FR,funder,la rochelle université,Renewable_Energy_General
626,University of Wollongong,https://openalex.org/I204824540,AU,funder,university of wollongong,Renewable_Energy_General
627,University of Trieste,https://openalex.org/I142444530,IT,funder,university of trieste,Renewable_Energy_General
628,Louisiana State University,https://openalex.org/I121820613,US,funder,louisiana state university,Renewable_Energy_General
629,Ministry of Natural Resources and Forestry,https://openalex.org/I1320721754,CA,government,ministry of natural resources and forestry,Renewable_Energy_General
630,Universiti Teknologi MARA,https://openalex.org/I82724352,MY,funder,universiti teknologi mara,Renewable_Energy_General
631,National Technical University of Athens,https://openalex.org/I174458059,GR,funder,national technical university of athens,Renewable_Energy_General
632,Centre d'Écologie Fonctionnelle et Évolutive,https://openalex.org/I4210089824,FR,facility,centre décologie fonctionnelle et évolutive,Wind_Energy_Impacts
633,Shandong Agricultural University,https://openalex.org/I74485261,CN,funder,shandong agricultural university,Renewable_Energy_General
634,National Bureau of Plant Genetic Resources,https://openalex.org/I4210097415,IN,facility,national bureau of plant genetic resources,Renewable_Energy_General
635,Finnish Meteorological Institute,https://openalex.org/I1285790362,FI,government,finnish meteorological institute,Renewable_Energy_General
636,Luxembourg Institute of Science and Technology,https://openalex.org/I4210112527,LU,funder,luxembourg institute of science and technology,Renewable_Energy_General
637,Indiana University Bloomington,https://openalex.org/I4210119109,US,funder,indiana university bloomington,Renewable_Energy_General
