ID,Author,ORCID,OpenAlexAuthorID,NormName,Topic
7370,Marika Makkonen,0000-0002-0424-5385,https://openalex.org/A5051636492,marika makkonen,Renewable_Energy_General
7371,Andreas Zetterberg,0000-0003-0301-9017,https://openalex.org/A5091538321,andreas zetterberg,Renewable_Energy_General
7372,Mathias Kirchner,0000-0002-2668-9438,https://openalex.org/A5015010167,mathias kirchner,Renewable_Energy_General
7373,Phoebe Koundouri,0000-0001-5979-6128,https://openalex.org/A5050434856,phoebe koundouri,Renewable_Energy_General
7374,Emeric Thibaud,0000-0002-1899-3990,https://openalex.org/A5050163087,emeric thibaud,Renewable_Energy_General
7375,Yun Bai,0000-0001-5304-7185,https://openalex.org/A5101708205,yun bai,Renewable_Energy_General
7376,Rebecca Hamon,,https://openalex.org/A5008795461,rebecca hamon,Renewable_Energy_General
7377,Jed I. Macdonald,0000-0002-5769-2912,https://openalex.org/A5078716665,jed i macdonald,Wind_Energy_Impacts
7378,Yaşar Kondakçı,0000-0003-2244-7076,https://openalex.org/A5026709388,yaşar kondakçı,Renewable_Energy_General
7379,Daniel Palm,0000-0002-2354-5498,https://openalex.org/A5082001992,daniel palm,Hydropower_Aquatic
7380,R. Malcolm W. Horner,,https://openalex.org/A5109342590,r malcolm w horner,Solar_Biomass_Production
7381,Teunis Johannes Dijkman,0000-0002-1171-5453,https://openalex.org/A5080986486,teunis johannes dijkman,Renewable_Energy_General
7382,Lars Rytter,,https://openalex.org/A5110578234,lars rytter,Renewable_Energy_General
7383,Thomas J. Wood,0000-0002-5893-5664,https://openalex.org/A5061512938,thomas j wood,Unknown
7384,Richard F. Wright,,https://openalex.org/A5114250316,richard f wright,Renewable_Energy_General
7385,Mariusz Kistowski,0000-0003-3464-2450,https://openalex.org/A5009814358,mariusz kistowski,Wind_Energy_Impacts
7386,Robert E. Perdue,,https://openalex.org/A5000988336,robert e perdue,Renewable_Energy_General
7387,Oihana Izagirre,,https://openalex.org/A5087891059,oihana izagirre,Renewable_Energy_General
7388,Mark D. Coleman,0000-0003-4485-9047,https://openalex.org/A5053189758,mark d coleman,Renewable_Energy_General
7389,Xavier Puig‐Montserrat,0000-0002-2670-321X,https://openalex.org/A5025641461,xavier puigmontserrat,Wind_Energy_Impacts
7390,Timothy T. Work,0000-0002-4203-7755,https://openalex.org/A5075430896,timothy t work,Renewable_Energy_General
7391,Gian-Reto Walther,,https://openalex.org/A5025718724,gian-reto walther,Wind_Energy_Impacts
7392,Domenico Pignone,0000-0002-7179-4923,https://openalex.org/A5017043055,domenico pignone,Hydropower_Aquatic
7393,Alexandros Flamos,0000-0001-9279-9638,https://openalex.org/A5011643917,alexandros flamos,Renewable_Energy_General
7394,Matthias Bürgi,0000-0001-9681-601X,https://openalex.org/A5040807248,matthias bürgi,Renewable_Energy_General
7395,Javier Juste,0000-0003-1383-8462,https://openalex.org/A5036691726,javier juste,Wind_Energy_Impacts
7396,John Barrett,0000-0002-4285-6849,https://openalex.org/A5081814024,john barrett,Renewable_Energy_General
7397,Juan Moreira,0000-0002-1374-2033,https://openalex.org/A5041030692,juan moreira,Wind_Energy_Impacts
7398,Roger D. McLenaghen,,https://openalex.org/A5073108938,roger d mclenaghen,Renewable_Energy_General
7399,A.T. Ibbotson,,https://openalex.org/A5113418150,at ibbotson,Renewable_Energy_General
7400,Randi Berland Frøseth,,https://openalex.org/A5047660826,randi berland frøseth,Solar_Biomass_Production
7401,PABLO AGUSTO,,https://openalex.org/A5026689709,pablo agusto,Renewable_Energy_General
7402,C.N.R. Critchley,,https://openalex.org/A5055547920,cnr critchley,Renewable_Energy_General
7403,Javier Domínguez,0000-0002-9677-7265,https://openalex.org/A5068299013,javier domínguez,Renewable_Energy_General
7404,Laurent Lardon,,https://openalex.org/A5013901351,laurent lardon,Renewable_Energy_General
7405,Jianbang Gan,0000-0001-6799-313X,https://openalex.org/A5043313123,jianbang gan,Renewable_Energy_General
7406,Wolfgang Wagner,0000-0001-7704-6857,https://openalex.org/A5066754586,wolfgang wagner,Renewable_Energy_General
7407,Michael K. Montigny,,https://openalex.org/A5009726440,michael k montigny,Renewable_Energy_General
7408,Christophe Eloy,0000-0003-4114-7263,https://openalex.org/A5066437409,christophe eloy,Wind_Energy_Impacts
7409,Karl E. Taylor,0000-0002-6491-2135,https://openalex.org/A5070265114,karl e taylor,Renewable_Energy_General
7410,P. Linger,,https://openalex.org/A5086609296,p linger,Renewable_Energy_General
7411,Richard A. Pettifor,,https://openalex.org/A5079710153,richard a pettifor,Wind_Energy_Impacts
7412,Jed A. Fuhrman,0000-0002-2361-1985,https://openalex.org/A5035958952,jed a fuhrman,Hydropower_Aquatic
7413,Ying Ying Tye,0000-0001-7159-529X,https://openalex.org/A5003432895,ying ying tye,Renewable_Energy_General
7414,Russell D. Briggs,0000-0001-9190-6219,https://openalex.org/A5034873978,russell d briggs,Renewable_Energy_General
7415,Klaus Sieling,0000-0002-2151-2297,https://openalex.org/A5000810473,klaus sieling,Renewable_Energy_General
7416,Hans-Jürgen Klüppel,,https://openalex.org/A5071547955,hans-jürgen klüppel,Renewable_Energy_General
7417,Bishnu Raj Upreti,,https://openalex.org/A5112891621,bishnu raj upreti,Renewable_Energy_General
7418,M. A. Daly,,https://openalex.org/A5047023859,m a daly,Hydropower_Aquatic
7419,J.W. Ranney,,https://openalex.org/A5048382133,jw ranney,Renewable_Energy_General
7420,Antje Gimpel,,https://openalex.org/A5025009330,antje gimpel,Renewable_Energy_General
7421,Aleksandar Knežević,0000-0002-2776-9675,https://openalex.org/A5007961490,aleksandar knežević,Renewable_Energy_General
7422,Didier Gascuel,0000-0001-5447-6977,https://openalex.org/A5014577031,didier gascuel,Wind_Energy_Impacts
7423,Olga I. Nedashkovskaya,0000-0002-2637-4372,https://openalex.org/A5032637230,olga i nedashkovskaya,Renewable_Energy_General
7424,John F. Cockrem,0000-0002-5239-6591,https://openalex.org/A5023813736,john f cockrem,Wind_Energy_Impacts
7425,Michelle Cleary,0000-0002-0318-5974,https://openalex.org/A5084917525,michelle cleary,Renewable_Energy_General
7426,N. I. Fisher,0000-0003-0209-7080,https://openalex.org/A5029583587,n i fisher,Land_Use_Bioenergy
7427,Vadim Goltsev,,https://openalex.org/A5040050563,vadim goltsev,Renewable_Energy_General
7428,M. C. Potter,,https://openalex.org/A5081395105,m c potter,Renewable_Energy_General
7429,Temel Sarıyıldız,0000-0003-3451-3229,https://openalex.org/A5090952186,temel sarıyıldız,Renewable_Energy_General
7430,Adriana Zingone,0000-0001-5946-6532,https://openalex.org/A5065154744,adriana zingone,Renewable_Energy_General
7431,Matti Leppäranta,0000-0002-4754-5564,https://openalex.org/A5088795672,matti leppäranta,Renewable_Energy_General
7432,Peter Lancashire,,https://openalex.org/A5068497581,peter lancashire,Renewable_Energy_General
7433,Jeannette E. Zamon,,https://openalex.org/A5112004471,jeannette e zamon,Renewable_Energy_General
7434,Wei Sun,0000-0002-4180-3040,https://openalex.org/A5026529203,wei sun,Renewable_Energy_General
7435,Marc Buée,0000-0001-8614-3886,https://openalex.org/A5049457958,marc buée,Renewable_Energy_General
7436,Senjie Lin,0000-0001-8831-6111,https://openalex.org/A5100612927,senjie lin,Renewable_Energy_General
7437,Marina Fernández-Delgado Juárez,0000-0002-1487-6906,https://openalex.org/A5048007893,marina fernández-delgado juárez,Renewable_Energy_General
7438,Linda S. Heath,0000-0002-6224-6183,https://openalex.org/A5079518032,linda s heath,Renewable_Energy_General
7439,Angelika Hanreich,,https://openalex.org/A5082896098,angelika hanreich,Hydropower_Aquatic
7440,Ron Hoeke,0000-0003-0576-9436,https://openalex.org/A5054187854,ron hoeke,Renewable_Energy_General
7441,Franziska Mueller‐Langer,,https://openalex.org/A5075321180,franziska muellerlanger,Renewable_Energy_General
7442,Heather N. Sandefur,,https://openalex.org/A5070022541,heather n sandefur,Renewable_Energy_General
7443,Ksenia Chmutina,0000-0001-5662-8954,https://openalex.org/A5002863364,ksenia chmutina,Renewable_Energy_General
7444,Therese Haugdahl Nøst,0000-0001-6805-3094,https://openalex.org/A5065490864,therese haugdahl nøst,Wind_Energy_Impacts
7445,Nicolas Toupoint,0000-0002-0610-4834,https://openalex.org/A5065474254,nicolas toupoint,Wind_Energy_Impacts
7446,Jørgen Lützen,,https://openalex.org/A5012586689,jørgen lützen,Renewable_Energy_General
7447,J. H. Carleton,0000-0002-8296-9135,https://openalex.org/A5111436278,j h carleton,Renewable_Energy_General
7448,Charles A. Gray,0000-0001-9939-9995,https://openalex.org/A5059410684,charles a gray,Hydropower_Aquatic
7449,Arthur Mayer Wolfson,,https://openalex.org/A5088407991,arthur mayer wolfson,Renewable_Energy_General
7450,R. Fahmi,,https://openalex.org/A5056551772,r fahmi,Renewable_Energy_General
7451,Matthew R. Palmer,0000-0003-3227-042X,https://openalex.org/A5053770267,matthew r palmer,Hydropower_Aquatic
7452,Katrien Van Landeghem,0000-0002-1040-9956,https://openalex.org/A5026992860,katrien van landeghem,Wind_Energy_Impacts
7453,Ian Laing,,https://openalex.org/A5109428910,ian laing,Hydropower_Aquatic
7454,Sarah Pilgrim,,https://openalex.org/A5021665596,sarah pilgrim,Renewable_Energy_General
7455,Harri Tolvanen,0000-0002-9101-4840,https://openalex.org/A5011993894,harri tolvanen,Renewable_Energy_General
7456,John Corton,0000-0002-4793-077X,https://openalex.org/A5055161155,john corton,Solar_Biomass_Production
7457,Chuntian Cheng,0000-0002-4693-6264,https://openalex.org/A5049303518,chuntian cheng,Hydropower_Aquatic
7458,Juliane Schumacher,0000-0002-2352-7900,https://openalex.org/A5061402639,juliane schumacher,Hydropower_Aquatic
7459,Elodie Hanff,,https://openalex.org/A5056054289,elodie hanff,Renewable_Energy_General
7460,Michael S. Foster,0000-0001-8233-9873,https://openalex.org/A5102753979,michael s foster,Renewable_Energy_General
7461,Marion Valeix,,https://openalex.org/A5080353282,marion valeix,Renewable_Energy_General
7462,Raymond D. Semlitsch,0000-0002-7999-5762,https://openalex.org/A5023466505,raymond d semlitsch,Renewable_Energy_General
7463,Thomas Nußbaumer,0000-0001-7156-8224,https://openalex.org/A5101666144,thomas nußbaumer,Solar_Biomass_Production
7464,Michael Donaldson,0000-0002-1178-5988,https://openalex.org/A5080381206,michael donaldson,Solar_Biomass_Production
7465,Carina Sundberg,,https://openalex.org/A5041154775,carina sundberg,Hydropower_Aquatic
7466,Robert J. Cooper,0000-0001-6696-8020,https://openalex.org/A5050190425,robert j cooper,Renewable_Energy_General
7467,Elisa Pellegrino,0000-0002-2482-1327,https://openalex.org/A5022726758,elisa pellegrino,Renewable_Energy_General
7468,Johan Six,0000-0001-9336-4185,https://openalex.org/A5028784852,johan six,Solar_Biomass_Production
7469,O. Infante,,https://openalex.org/A5069843636,o infante,Wind_Energy_Impacts
7470,Graham Wood,0000-0002-0307-9012,https://openalex.org/A5077262755,graham wood,Renewable_Energy_General
7471,Francisco Sánchez‐Piñero,0000-0002-9852-8318,https://openalex.org/A5054994951,francisco sánchezpiñero,Renewable_Energy_General
7472,Marie-Ange ArsÃ ̈ne,,https://openalex.org/A5111687089,marie-ange arsã ne,Hydropower_Aquatic
7473,Eleni Papadatou,0000-0002-7574-9564,https://openalex.org/A5010841878,eleni papadatou,Wind_Energy_Impacts
7474,A. Bergheim,0000-0002-0253-5477,https://openalex.org/A5016729041,a bergheim,Hydropower_Aquatic
7475,François Bastardie,0000-0002-2669-6179,https://openalex.org/A5088823220,françois bastardie,Hydropower_Aquatic
7476,Daniel Paredes,0000-0002-2681-2256,https://openalex.org/A5081533262,daniel paredes,Renewable_Energy_General
7477,William P. Kuvlesky,,https://openalex.org/A5036354668,william p kuvlesky,Renewable_Energy_General
7478,Zhuang Zhao,,https://openalex.org/A5100828382,zhuang zhao,Renewable_Energy_General
7479,Andrzej Witkowski,0000-0002-1542-5373,https://openalex.org/A5024416592,andrzej witkowski,Hydropower_Aquatic
7480,RW Rangeley,,https://openalex.org/A5109137769,rw rangeley,Renewable_Energy_General
7481,Jonathan Baker,,https://openalex.org/A5063144421,jonathan baker,Renewable_Energy_General
7482,James R. Irvine,0000-0002-5314-0109,https://openalex.org/A5089534993,james r irvine,Renewable_Energy_General
7483,Martin Maddison,0000-0003-4069-5831,https://openalex.org/A5057464106,martin maddison,Renewable_Energy_General
7484,Katharina Sternecker,,https://openalex.org/A5051322113,katharina sternecker,Hydropower_Aquatic
7485,Richard L. Dean,,https://openalex.org/A5036275466,richard l dean,Hydropower_Aquatic
7486,Elio Dinuccio,0000-0002-9808-7321,https://openalex.org/A5022752048,elio dinuccio,Renewable_Energy_General
7487,Mary S. Wisz,0000-0002-5357-6367,https://openalex.org/A5020703904,mary s wisz,Renewable_Energy_General
7488,C Hofmann-Schielle,,https://openalex.org/A5084418202,c hofmann-schielle,Renewable_Energy_General
7489,C. Teglia,,https://openalex.org/A5084391407,c teglia,Renewable_Energy_General
7490,Gregor Ernst,,https://openalex.org/A5063924415,gregor ernst,Solar_Biomass_Production
7491,Theresa Abdo,,https://openalex.org/A5112524462,theresa abdo,Renewable_Energy_General
7492,J. Grant Burgess,0000-0002-1491-7341,https://openalex.org/A5046093816,j grant burgess,Hydropower_Aquatic
7493,P. Venkateswara Rao,0000-0002-8833-3402,https://openalex.org/A5040074920,p venkateswara rao,Renewable_Energy_General
7494,Christian Hoffmann,0000-0002-9291-2570,https://openalex.org/A5080077895,christian hoffmann,Renewable_Energy_General
7495,Steven J.D. Martell,,https://openalex.org/A5086498221,steven jd martell,Renewable_Energy_General
7496,Jamie Linton,,https://openalex.org/A5110256698,jamie linton,Hydropower_Aquatic
7497,Jukka Höhn,,https://openalex.org/A5113853013,jukka höhn,Renewable_Energy_General
7498,Ahmad Rashedi,0000-0001-5791-8144,https://openalex.org/A5091544544,ahmad rashedi,Solar_Biomass_Production
7499,S. F. K. Wewetzer,,https://openalex.org/A5050923706,s f k wewetzer,Renewable_Energy_General
7500,Francesco Colloca,0000-0002-0574-2893,https://openalex.org/A5048783647,francesco colloca,Renewable_Energy_General
7501,Montserrat Vilà,0000-0003-3171-8261,https://openalex.org/A5005215306,montserrat vilà,Wind_Energy_Impacts
7502,Laurent Tarrade,,https://openalex.org/A5058777372,laurent tarrade,Hydropower_Aquatic
7503,Fredrik Wulff,,https://openalex.org/A5113483151,fredrik wulff,Hydropower_Aquatic
7504,Francesco Agostini,0000-0003-3162-3473,https://openalex.org/A5065231362,francesco agostini,Solar_Biomass_Production
7505,Md. Mostafizur Rahman,0000-0002-4074-5459,https://openalex.org/A5009387771,md mostafizur rahman,Solar_Biomass_Production
7506,Tomer Meir Salame,,https://openalex.org/A5110347197,tomer meir salame,Renewable_Energy_General
7507,Frances E. Pereira,,https://openalex.org/A5051109266,frances e pereira,Solar_Biomass_Production
7508,Souvik Bhattacharyya,0000-0003-3884-9889,https://openalex.org/A5057506188,souvik bhattacharyya,Solar_Biomass_Production
7509,Sangook Park,,https://openalex.org/A5088318936,sangook park,Renewable_Energy_General
7510,Zacharia Malley,,https://openalex.org/A5079740356,zacharia malley,Renewable_Energy_General
7511,Charles R. Tyler,0000-0003-2353-5748,https://openalex.org/A5002493080,charles r tyler,Wind_Energy_Impacts
7512,Jean-Sylvestre Bergé,0000-0002-3389-0244,https://openalex.org/A5023185872,jean-sylvestre bergé,Renewable_Energy_General
7513,M. H. Davis,,https://openalex.org/A5111478185,m h davis,Wind_Energy_Impacts
7514,Maria Campbell,,https://openalex.org/A5112497997,maria campbell,Hydropower_Aquatic
7515,Sarah C. Davis,0000-0002-8156-2042,https://openalex.org/A5084156300,sarah c davis,Renewable_Energy_General
7516,Les Levidow,0000-0002-7481-0044,https://openalex.org/A5016145396,les levidow,Renewable_Energy_General
7517,Anu Valtonen,0000-0003-1532-1563,https://openalex.org/A5014057069,anu valtonen,Renewable_Energy_General
7518,Yunus Çengeloğlu,0000-0001-6547-3042,https://openalex.org/A5058569957,yunus çengeloğlu,Renewable_Energy_General
7519,Paulo Branco,0000-0002-2502-5533,https://openalex.org/A5001766991,paulo branco,Hydropower_Aquatic
7520,Paolo Agnolucci,0000-0002-5133-6706,https://openalex.org/A5027035149,paolo agnolucci,Renewable_Energy_General
7521,Hélène Peltier,,https://openalex.org/A5066872300,hélène peltier,Wind_Energy_Impacts
7522,Jenny Ask,0000-0003-2156-4908,https://openalex.org/A5048584308,jenny ask,Renewable_Energy_General
7523,E. E. Bridcut,,https://openalex.org/A5003373095,e e bridcut,Renewable_Energy_General
7524,Richard Kenneth Clarke,,https://openalex.org/A5111688753,richard kenneth clarke,Wind_Energy_Impacts
7525,Trevor R. Mitchell,,https://openalex.org/A5109465637,trevor r mitchell,Renewable_Energy_General
7526,John B. Skillman,,https://openalex.org/A5005723861,john b skillman,Renewable_Energy_General
7527,Bandana Biswas,,https://openalex.org/A5051324061,bandana biswas,Solar_Biomass_Production
7528,Rosa María Arce Ruiz,0000-0001-9897-509X,https://openalex.org/A5050862188,rosa maría arce ruiz,Wind_Energy_Impacts
7529,Ke Qin,0000-0003-4257-1509,https://openalex.org/A5020707027,ke qin,Solar_Biomass_Production
7530,Harald Piene,,https://openalex.org/A5022948087,harald piene,Renewable_Energy_General
7531,Melanie J. Bishop,0000-0001-8210-6500,https://openalex.org/A5055351741,melanie j bishop,Hydropower_Aquatic
7532,Robert A. Holland,0000-0002-3038-9227,https://openalex.org/A5049072584,robert a holland,Renewable_Energy_General
7533,Joyita Mukherjee,0000-0003-1598-1326,https://openalex.org/A5087651653,joyita mukherjee,Renewable_Energy_General
7534,Kassem Alef,,https://openalex.org/A5089489160,kassem alef,Renewable_Energy_General
7535,Stefan Hajkowicz,0000-0003-0522-6706,https://openalex.org/A5030728431,stefan hajkowicz,Renewable_Energy_General
7536,Abbey N. Driscoll,0000-0002-3228-9449,https://openalex.org/A5067248766,abbey n driscoll,Renewable_Energy_General
7537,Paolo Domenici,0000-0003-3182-2579,https://openalex.org/A5079283673,paolo domenici,Wind_Energy_Impacts
7538,Miguel A. Mora,0000-0002-8393-0216,https://openalex.org/A5085458569,miguel a mora,Wind_Energy_Impacts
7539,C. Mercier,,https://openalex.org/A5112834775,c mercier,Hydropower_Aquatic
7540,Yamuna Baral Gautam,,https://openalex.org/A5004257725,yamuna baral gautam,Solar_Biomass_Production
7541,Kok Chooi Tan,,https://openalex.org/A5038752995,kok chooi tan,Renewable_Energy_General
7542,Ben R. Gillespie,0000-0002-5100-1674,https://openalex.org/A5002417609,ben r gillespie,Renewable_Energy_General
7543,Rathin Datta,,https://openalex.org/A5050505546,rathin datta,Renewable_Energy_General
7544,John Stone,0000-0002-5925-0800,https://openalex.org/A5087049169,john stone,Renewable_Energy_General
7545,Meinrad Rohner,,https://openalex.org/A5013375807,meinrad rohner,Renewable_Energy_General
7546,B. U. Budelmann,,https://openalex.org/A5111743992,b u budelmann,Wind_Energy_Impacts
7547,Bánk Beszteri,0000-0002-6852-1588,https://openalex.org/A5042217882,bánk beszteri,Hydropower_Aquatic
7548,Sara Latorre,0000-0001-6673-1357,https://openalex.org/A5049368879,sara latorre,Renewable_Energy_General
7549,Marc‐André Villard,0000-0002-8485-1800,https://openalex.org/A5040217264,marcandré villard,Hydropower_Aquatic
7550,Michael Starr,0000-0001-6678-4854,https://openalex.org/A5060498406,michael starr,Renewable_Energy_General
7551,Kristján Lilliendahl,,https://openalex.org/A5084799048,kristján lilliendahl,Wind_Energy_Impacts
7552,Francesc Ordines,0000-0002-2456-2214,https://openalex.org/A5075241578,francesc ordines,Hydropower_Aquatic
7553,Hwai Chyuan Ong,0000-0002-6731-4800,https://openalex.org/A5085989233,hwai chyuan ong,Renewable_Energy_General
7554,Åge S. Høines,,https://openalex.org/A5109334301,åge s høines,Hydropower_Aquatic
7555,Peter Blomqvist,,https://openalex.org/A5108476436,peter blomqvist,Renewable_Energy_General
7556,Julia Mundo-Hernández,,https://openalex.org/A5002365616,julia mundo-hernández,Renewable_Energy_General
7557,Carlos M. Alexandre,0000-0003-2567-4434,https://openalex.org/A5047340490,carlos m alexandre,Hydropower_Aquatic
7558,T. van Dijk,0000-0003-1702-1142,https://openalex.org/A5061169819,t van dijk,Renewable_Energy_General
7559,Anna Schubert,,https://openalex.org/A5111088612,anna schubert,Renewable_Energy_General
7560,Margaret A. House,,https://openalex.org/A5113782861,margaret a house,Hydropower_Aquatic
7561,Suzanna Lettens,0000-0001-5032-495X,https://openalex.org/A5039327272,suzanna lettens,Renewable_Energy_General
7562,Gregory J. Doucette,0000-0001-6516-7942,https://openalex.org/A5057524913,gregory j doucette,Renewable_Energy_General
7563,Scott Steinschneider,0000-0002-8882-1908,https://openalex.org/A5023805749,scott steinschneider,Renewable_Energy_General
7564,Jayson Beckman,0000-0001-6815-1524,https://openalex.org/A5038678727,jayson beckman,Renewable_Energy_General
7565,Gary Brierley,0000-0002-1310-1105,https://openalex.org/A5087334667,gary brierley,Hydropower_Aquatic
7566,Henry Neufeldt,0000-0002-0880-9395,https://openalex.org/A5077892859,henry neufeldt,Renewable_Energy_General
7567,Fernando Monroy,0000-0002-7085-8382,https://openalex.org/A5055947059,fernando monroy,Solar_Biomass_Production
7568,Hugo Toledo,0000-0002-9479-2066,https://openalex.org/A5004878064,hugo toledo,Renewable_Energy_General
7569,Satu Helynen,,https://openalex.org/A5042023487,satu helynen,Renewable_Energy_General
7570,Jactone Arogo Ogejo,0000-0002-4182-6891,https://openalex.org/A5071886270,jactone arogo ogejo,Renewable_Energy_General
7571,Benjamin Burkhard,0000-0001-8636-9009,https://openalex.org/A5013545231,benjamin burkhard,Renewable_Energy_General
7572,Harish Gopalan,0000-0001-6866-0900,https://openalex.org/A5028860518,harish gopalan,Renewable_Energy_General
7573,Christopher A. McNally,,https://openalex.org/A5102366319,christopher a mcnally,Renewable_Energy_General
7574,J. D. Goss‐Custard,0000-0003-2589-2095,https://openalex.org/A5081573346,j d gosscustard,Wind_Energy_Impacts
7575,Richa Mahtta,,https://openalex.org/A5002910854,richa mahtta,Renewable_Energy_General
7576,Carlos A. Peres,0000-0002-1588-8765,https://openalex.org/A5037372956,carlos a peres,Renewable_Energy_General
7577,Aiduan Borrion,0000-0002-9869-1887,https://openalex.org/A5070276918,aiduan borrion,Renewable_Energy_General
7578,Risto Sievänen,,https://openalex.org/A5040137089,risto sievänen,Renewable_Energy_General
7579,Conghe Song,0000-0002-4099-4906,https://openalex.org/A5016731659,conghe song,Renewable_Energy_General
7580,L. Albrecht,,https://openalex.org/A5085972411,l albrecht,Renewable_Energy_General
7581,Manuela Röver,,https://openalex.org/A5084880904,manuela röver,Renewable_Energy_General
7582,Mollie McIntosh,,https://openalex.org/A5000773056,mollie mcintosh,Renewable_Energy_General
7583,Simone Fazio,,https://openalex.org/A5108187056,simone fazio,Renewable_Energy_General
7584,Nils-Ove Hilldén,,https://openalex.org/A5054992173,nils-ove hilldén,Renewable_Energy_General
7585,Mark F. Forst,,https://openalex.org/A5051450009,mark f forst,Wind_Energy_Impacts
7586,Barbara Farbey,,https://openalex.org/A5028206747,barbara farbey,Renewable_Energy_General
7587,François Gastal,0000-0001-9191-5916,https://openalex.org/A5091012976,françois gastal,Solar_Biomass_Production
7588,Yvonne Andersson‐Sköld,0000-0003-1933-3916,https://openalex.org/A5027601820,yvonne anderssonsköld,Unknown
7589,D.W Mather,,https://openalex.org/A5036549508,dw mather,Renewable_Energy_General
7590,B. Eickhout,,https://openalex.org/A5089964507,b eickhout,Renewable_Energy_General
7591,Alper Baba,0000-0001-5307-3156,https://openalex.org/A5051175344,alper baba,Renewable_Energy_General
7592,Nguyen Le Truong,0000-0002-0588-9510,https://openalex.org/A5017601046,nguyen le truong,Renewable_Energy_General
7593,C.‐Y. Cynthia Lin Lawell,0000-0003-1014-2101,https://openalex.org/A5085765077,cy cynthia lin lawell,Renewable_Energy_General
7594,Debra Satz,,https://openalex.org/A5033491953,debra satz,Renewable_Energy_General
7595,Arne Arnberger,0000-0003-3391-0927,https://openalex.org/A5090836350,arne arnberger,Renewable_Energy_General
7596,Karen Updegraff,,https://openalex.org/A5003058110,karen updegraff,Solar_Biomass_Production
7597,Ivan Jarić,0000-0002-2185-297X,https://openalex.org/A5047907700,ivan jarić,Renewable_Energy_General
7598,Rodney D. Roberts,,https://openalex.org/A5109101689,rodney d roberts,Hydropower_Aquatic
7599,Mervyn Shepherd,0000-0001-8708-4670,https://openalex.org/A5019951391,mervyn shepherd,Renewable_Energy_General
7600,Jiangjiang Wang,0000-0003-4920-9035,https://openalex.org/A5078303039,jiangjiang wang,Renewable_Energy_General
7601,Robin Naidoo,0000-0003-3872-0962,https://openalex.org/A5067207898,robin naidoo,Renewable_Energy_General
7602,A. Huskey,,https://openalex.org/A5109050757,a huskey,Renewable_Energy_General
7603,Bruce A. Manny,0000-0002-4074-9329,https://openalex.org/A5042683426,bruce a manny,Renewable_Energy_General
7604,Carter Reeb,,https://openalex.org/A5065339981,carter reeb,Renewable_Energy_General
7605,Nicole Sonntag,,https://openalex.org/A5000144732,nicole sonntag,Renewable_Energy_General
7606,Rodrigo A. Labatut,0000-0001-5684-1691,https://openalex.org/A5057357987,rodrigo a labatut,Renewable_Energy_General
7607,Erin F. Baerwald,0000-0002-6399-4749,https://openalex.org/A5057470483,erin f baerwald,Wind_Energy_Impacts
7608,A.F.O. Falcão,0000-0003-2085-2043,https://openalex.org/A5035611335,afo falcão,Renewable_Energy_General
7609,Juho Matala,0000-0002-5867-5057,https://openalex.org/A5028346367,juho matala,Renewable_Energy_General
7610,Geoffrey Wandesforde‐Smith,,https://openalex.org/A5062907938,geoffrey wandesfordesmith,Renewable_Energy_General
7611,Åsa Bång,,https://openalex.org/A5034860898,åsa bång,Hydropower_Aquatic
7612,Christian Albert,0000-0002-2591-4779,https://openalex.org/A5006942789,christian albert,Renewable_Energy_General
7613,Stefano Cordiner,0000-0001-6190-5725,https://openalex.org/A5088203146,stefano cordiner,Renewable_Energy_General
7614,Sylvain Pioch,0000-0002-1624-3387,https://openalex.org/A5041456003,sylvain pioch,Renewable_Energy_General
7615,Quinten Vanhellemont,0000-0001-9195-6347,https://openalex.org/A5080127406,quinten vanhellemont,Renewable_Energy_General
7616,Raphael Slade,0000-0002-5297-4224,https://openalex.org/A5039802933,raphael slade,Renewable_Energy_General
7617,T. DeFries,,https://openalex.org/A5063570662,t defries,Solar_Biomass_Production
7618,O. Oenema,0000-0002-9042-7504,https://openalex.org/A5061297410,o oenema,Renewable_Energy_General
7619,Elisa Angelelli,,https://openalex.org/A5058319351,elisa angelelli,Renewable_Energy_General
7620,Luis Morales-Salinas,0000-0001-8083-0706,https://openalex.org/A5101826460,luis morales-salinas,Renewable_Energy_General
7621,Kok Siew Ng,0000-0001-7689-2832,https://openalex.org/A5042991368,kok siew ng,Renewable_Energy_General
7622,Mark O. Barnett,0000-0003-4824-4947,https://openalex.org/A5030950240,mark o barnett,Solar_Biomass_Production
7623,Jasminca Behrmann‐Godel,0000-0002-4414-1994,https://openalex.org/A5077271956,jasminca behrmanngodel,Renewable_Energy_General
7624,Giovanni Sorda,,https://openalex.org/A5043299451,giovanni sorda,Solar_Biomass_Production
7625,Agustín G. Asuero,0000-0002-9301-7287,https://openalex.org/A5026588498,agustín g asuero,Hydropower_Aquatic
7626,María Laura Carranza,0000-0001-5753-890X,https://openalex.org/A5031032649,maría laura carranza,Renewable_Energy_General
7627,Phillip C. Watts,0000-0001-7755-187X,https://openalex.org/A5051233105,phillip c watts,Wind_Energy_Impacts
7628,Feng‐Wu Bai,0000-0002-0461-4689,https://openalex.org/A5052570866,fengwu bai,Renewable_Energy_General
7629,Moloy Biswas,,https://openalex.org/A5047116521,moloy biswas,Renewable_Energy_General
7630,Michael Rands,,https://openalex.org/A5000563932,michael rands,Solar_Biomass_Production
